INDIR,OUTDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE FS,OUT FILE ZC,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,AUTO ID*,PULSES,MATCHING,MATCH RATIO,MARGIN,ALTERNATE 1,ALTERNATE 2,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5,OUTPATHMD5FS,OUTPATHMD5ZC
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_043020.zc,0,0,4.60506,,,2021-08-28,4:30:20,4,2021-08-27,16:30:20,16,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,QOfbITshdvkqeswROPYGBw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_063303.zc,0,0,12.454596,,,2021-08-28,6:33:03,6,2021-08-27,18:33:03,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,BBs8ZmeK8XWlrtFmxmmjtQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_063535.zc,0,0,5.997877,,,2021-08-28,6:35:35,6,2021-08-27,18:35:35,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,OmtsWYbB1aVNvSXVaH1nhw==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062423.zc,0,0,10.569899,,,2021-08-28,6:24:23,6,2021-08-27,18:24:23,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,ZPkTa0G3HbVcUTWQTSN5Hg==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061545.zc,0,0,8.452638,,,2021-08-28,6:15:45,6,2021-08-27,18:15:45,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,X+yIS3pk6DvlKPcq54mcFg==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_035139.zc,0,0,6.888271,,,2021-08-28,3:51:39,3,2021-08-27,15:51:39,15,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,cWZheZlX7v8Z9CjPkHH7MQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062829.zc,0,0,8.216056,,,2021-08-28,6:28:29,6,2021-08-27,18:28:29,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,BOc4hjlDm/lOJhhVeYdZQQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_063319.zc,0,0,5.790447,,,2021-08-28,6:33:19,6,2021-08-27,18:33:19,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,g4YZ2iboDxzkGWKgjMU5BA==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_063545.zc,0,0,14.024911,,,2021-08-28,6:35:45,6,2021-08-27,18:35:45,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,8Lgbksp9SVwxG4igETgggQ==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062439.zc,0,0,6.69755,,,2021-08-28,6:24:39,6,2021-08-27,18:24:39,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,6BBAoVqzFxRz3TZW6SC+4A==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_061555.zc,0,0,8.97088,,,2021-08-28,6:15:55,6,2021-08-27,18:15:55,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,Y4MaRhSxHJqFhqjtjyHP9w==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_035316.zc,0,0,6.628206,,,2021-08-28,3:53:16,3,2021-08-27,15:53:16,15,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,zXzFcorT3fBJjiiVUgz+0A==,,
/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Data,/Volumes/LAUREN/SERC 2021/Indole 1/2207 9.2/Output_noTABR,,SMU02207_20210828_062849.zc,0,0,11.154427,,,2021-08-28,6:28:49,6,2021-08-27,18:28:49,18,Noise,,,,,,,,,,,,,,,,,,,,1,,,,,,+xAXi4fifiZ3tlqPKjDSxg==,,
