"INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021221.zc","0","0","10.185419","","","2021-08-29","02:12:21","2","2021-08-28","14:12:21","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","p46xrfEQEcufxYugDHLUOw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021814.zc","0","0","13.416239","","","2021-08-29","02:18:14","2","2021-08-28","14:18:14","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","OnsnwQJ5mzIoICRNQ4rGkw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020440.zc","0","0","12.147888","","","2021-08-29","02:04:40","2","2021-08-28","14:04:40","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","ydiBdX0lOWlzP7x6zimUdw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023037.zc","0","0","11.176226","","","2021-08-29","02:30:37","2","2021-08-28","14:30:37","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","jMHdvoSoOPYUXFRZA+yMKA==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022152.zc","0","0","11.095183","","","2021-08-29","02:21:52","2","2021-08-28","14:21:52","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","J2z5y2s0wBpVCabeme3dkg==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023423.zc","0","0","7.99616","","","2021-08-29","02:34:23","2","2021-08-28","14:34:23","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","vd3xkcNCFh4sc6nhFWvkkw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020905.zc","0","0","11.196664","","","2021-08-29","02:09:05","2","2021-08-28","14:09:05","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","NejKEws3ZU5ijQsR+xLtHg==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_022515.zc","0","0","13.65665","","","2021-08-29","02:25:15","2","2021-08-28","14:25:15","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","uaZ6xvGRZj6MoPUA45Cfzw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_023802.zc","0","0","4.964875","","","2021-08-29","02:38:02","2","2021-08-28","14:38:02","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","mdqX+Dsk+PuTAdr+hDaOdQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021231.zc","0","0","12.594522","","","2021-08-29","02:12:31","2","2021-08-28","14:12:31","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","/ElmHtqlI9ofPq/5SUvFDw==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_021829.zc","0","0","9.346898","","","2021-08-29","02:18:29","2","2021-08-28","14:18:29","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","/vN9clT8UbaRrXnneKDMPQ==","",""
"/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Data","/Volumes/Maynard/SERC audio 2021/beanDIP/Cville 8.28-9.3/Bat output","","SMU01590_20210829_020453.zc","0","0","9.565007","","","2021-08-29","02:04:53","2","2021-08-28","14:04:53","14","Noise","","","","","","","","","","","","","","","","","","","","1","","","","","","kJXN8WCXKdttdjN/m3D/BA==","",""
