"","hour","jdate","activity","act2","Wind_speed_max_m.s","Wind_speed_avg_m.s","Rain_Accumulation_mm","Rain_Duration_s","delta.air","Air_Pressure_pascal","Air_Temperature_C","Relative_Humidity_pct","rain.log","air2","delta.air2","deltaair2.log","deltaair2.cube","wind.avg2","rh2"
"154",21,242,24,13.8,2.28,1.61666666666667,2.18,1150,1,100340.833333333,23.3733333333333,83.505,7.04751809092213,100364,-23.1666666666715,NA,NA,2.61361111111111,6973.085025
"155",21,243,13,7.8,2.43,1.865,0.0295,189.5,0,100208.5,24.8466666666667,83.9816666666667,5.24439430155341,100261.666666667,-53.1666666666715,NA,NA,3.478225,7052.92033611111
"156",21,244,1,4,7.51333333333333,3.81166666666667,32.08,7730,2.5,99568.8333333333,18.86,90.4666666666667,8.95286427094756,99429.1666666667,139.666666666657,4.93926579113286,5.18836979979648,14.5288027777778,8184.21777777778
"157",21,245,18.2,23.2,2.78,2.38833333333333,0,0,0.166666666666667,100938.5,20.2183333333333,46.0916666666667,-6.90775527898214,100921.666666667,16.8333333333285,2.82342045178905,2.56285109869623,5.70413611111111,2124.44173611111
"158",21,246,6.25,19,2.52166666666667,1.73166666666667,0,0,0,101200.666666667,19.625,66.2366666666667,-6.90775527898214,101186.833333333,13.833333333343,2.62715342511314,2.40054000194736,2.99866944444444,4387.29601111111
"159",21,247,29.8,35.8,3.77833333333333,2.39833333333333,0,0,-0.833333333333333,100783.833333333,20.1633333333333,75.7883333333333,-6.90775527898214,100824.666666667,-40.833333333343,NA,NA,5.75200277777778,5743.87146944444
"160",21,248,94.8,87.75,2.78833333333333,1.83333333333333,0.166166666666667,484.5,0,100328.333333333,22.4933333333333,82.3716666666667,6.18311949531218,100324,4.33333333332848,1.46656781139995,1.63032441550231,3.36111111111111,6785.09146944444
"161",21,249,78,80.2,2.865,2.37166666666667,0.32,760,1,100641.333333333,21.8116666666667,63.2433333333333,6.63331974906898,100589.5,51.8333333333285,3.94805273536949,3.72851916322923,5.62480277777778,3999.71921111111
"162",21,250,92,87,5.60833333333333,3.58,0,10,-0.166666666666667,100714,23.2,61.6033333333333,2.30268508799438,100709.833333333,4.16666666667152,1.42735632684592,1.60914897434334,12.8164,3794.97067777778
"163",21,251,135.333333333333,126,5.825,3.32666666666667,0,0,0.833333333333333,100115.666666667,23.755,80.0816666666667,-6.90775527898214,100154.333333333,-38.666666666657,NA,NA,11.0667111111111,6413.07333611111
"164",21,252,15.3333333333333,75,3.27833333333333,2.24833333333333,4.11,3180,0.333333333333333,100386.5,18.93,71.1616666666667,8.06463679023958,100372.833333333,13.6666666666715,2.61503294609141,2.39086030002988,5.05500277777778,5063.98280277778
"165",21,255,165.25,142.5,5.21833333333333,2.93,0,0,0,101152.333333333,23.715,73.885,-6.90775527898214,101150.333333333,2,0.693647055601596,1.25992104989487,8.5849,5458.993225
"166",21,256,107.5,106.5,1.24,1.085,0.05,50,-0.333333333333333,101139.333333333,25.79,68.345,3.91204300522815,101147,-7.66666666667152,NA,NA,1.177225,4671.039025
"167",21,257,99.25,147.5,5.82666666666667,3.15166666666667,0.01,10,0,100825.833333333,24.7866666666667,86.4716666666667,2.30268508799438,100839.666666667,-13.833333333343,NA,NA,9.93300277777778,7477.34913611111
"168",21,258,115.5,104.5,3.135,1.94833333333333,0,0,1.16666666666667,100948.333333333,24.7716666666667,85.6333333333333,-6.90775527898214,100895.333333333,53,3.97031078129865,3.75628575422107,3.79600277777778,7333.06777777778
"169",21,259,38.4,39.2,2.59,1.59166666666667,0,0,0.166666666666667,101458.333333333,22.4816666666667,91.04,-6.90775527898214,101458.833333333,-0.5,NA,NA,2.53340277777778,8288.2816
"170",21,260,29.6,46.4,2.26666666666667,1.545,0.04,170,-0.5,101307.5,22.565,86.2866666666667,5.1358043193859,101320.333333333,-12.8333333333285,NA,NA,2.387025,7445.38884444444
"171",21,261,39.2,66.4,2.47666666666667,1.835,0,0,0.833333333333333,101122.833333333,23.5466666666667,79.5633333333333,-6.90775527898214,101085.5,37.3333333333285,3.61991336798241,3.34219862330958,3.367225,6330.32401111111
"172",21,262,3.8,3,2.99833333333333,2.18833333333333,0.19,50,1.16666666666667,101561.5,21.5566666666667,61.905,3.91204300522815,101502.333333333,59.1666666666715,4.08037522151307,3.89665869123707,4.78880277777778,3832.229025
"173",21,263,10,9.6,5.89833333333333,3.52833333333333,0,0,0,101929.166666667,20.77,66.7933333333333,-6.90775527898214,101933.5,-4.33333333332848,NA,NA,12.4491361111111,4461.34937777778
"174",21,264,97.2,78.6,4.59,2.665,0,0,-0.333333333333333,101518.166666667,22.5516666666667,83.9133333333333,-6.90775527898214,101531.166666667,-13,NA,NA,7.102225,7041.44751111111
"175",21,265,43.6666666666667,30.5,7.91666666666667,4.33166666666667,7.95,5940,0.333333333333333,100435.166666667,24.2733333333333,82.3666666666667,8.68946458070685,100429.166666667,6,1.79192612200738,1.81712059283214,18.7633361111111,6784.26777777778
"176",21,266,10.8,31.6,2.44,1.64833333333333,16.31,8200,1,100905.166666667,16.0366666666667,66.6516666666667,9.01188955520356,100842.666666667,62.5,4.13518255661436,3.9685026299205,2.71700277777778,4442.44466944445
"177",21,267,4.6,5.4,1.335,1.17833333333333,0,0,-0.166666666666667,101155,18.6566666666667,48.3883333333333,-6.90775527898214,101160.5,-5.5,NA,NA,1.38846944444444,2341.43080277778
"178",21,268,16.6,30.8,3.02833333333333,2.63833333333333,0.01,10,0.333333333333333,100716.833333333,17.3316666666667,67.9633333333333,2.30268508799438,100703.333333333,13.5,2.60276375677511,2.3811015779523,6.96080277777778,4619.01467777778
"179",21,269,23.8,22.8,3.69666666666667,2.72666666666667,0,0,0,101000.5,16.5633333333333,60.26,-6.90775527898214,100990.5,10,2.30268508799438,2.15443469003188,7.43471111111111,3631.2676
"180",21,270,69.4,101,5.10666666666667,3.04,0.12,160,-0.5,100636.333333333,20.22,62.4416666666667,5.0751800652143,100673.5,-37.1666666666715,NA,NA,9.2416,3898.96173611111
"181",22,238,1,5.33333333333333,1.41666666666667,1.25666666666667,0.01,80,-0.166666666666667,101230.166666667,25.2833333333333,73.2033333333333,4.38203913459576,101237.666666667,-7.5,NA,NA,1.57921111111111,5358.72801111111
"182",22,239,23.8,10.8,2.33666666666667,1.68833333333333,0.05,90,-0.5,101302.666666667,24.2433333333333,87.0683333333333,4.49982078137965,101300.666666667,2,0.693647055601596,1.25992104989487,2.85046944444444,7580.89466944444
"183",22,240,9.4,5.8,3.82833333333333,2.09,0,0,0.166666666666667,101636.5,22.9033333333333,86.185,-6.90775527898214,101617.5,19,2.94449160936039,2.66840164872194,4.3681,7427.854225
"184",22,241,23.8,25.8,2.25166666666667,1.79666666666667,0,0,-0.833333333333333,101100.5,23.105,85.0183333333333,-6.90775527898214,101133.833333333,-33.3333333333285,NA,NA,3.22801111111111,7228.11700277778
"185",22,242,27.4,24,2.43666666666667,1.94833333333333,2.18,1150,0.166666666666667,100383.333333333,23.0566666666667,83.9233333333333,7.04751809092213,100340.833333333,42.5,3.74952760506532,3.48976602345444,3.79600277777778,7043.12587777778
"186",22,243,4,13,1.36833333333333,1.00333333333333,0.03,190,-0.833333333333333,100208.333333333,24.7416666666667,85.3416666666667,5.24702933530453,100208.5,-0.166666666671517,NA,NA,1.00667777777778,7283.20006944445
"187",22,245,0,19.6,2.57666666666667,2.305,0,0,0,100952.333333333,20.14,45.4233333333333,-6.90775527898214,100938.5,13.8333333333285,2.62715342511208,2.40054000194652,5.313025,2063.27921111111
"188",22,245,19.6,18.2,2.57666666666667,2.305,0,0,0,100952.333333333,20.14,45.4233333333333,-6.90775527898214,100938.5,13.8333333333285,2.62715342511208,2.40054000194652,5.313025,2063.27921111111
"189",22,246,10,6.25,2.22666666666667,1.66333333333333,0,0,-0.166666666666667,101199.5,19.37,64.9633333333333,-6.90775527898214,101200.666666667,-1.16666666667152,NA,NA,2.76667777777778,4220.23467777778
"190",22,247,56,29.8,4.245,2.79666666666667,0,0,-0.5,100725.5,20.1416666666667,77.2966666666667,-6.90775527898214,100783.833333333,-58.3333333333285,NA,NA,7.82134444444445,5974.77467777778
"191",22,248,71.8,94.8,2.57,1.92,0.17,532.5,0.5,100352.333333333,21.5833333333333,87.815,6.27758477551609,100328.333333333,24,3.17809549614658,2.88449914061482,3.6864,7711.474225
"192",22,249,34,78,2.69333333333333,2.24333333333333,0.32,760,0.5,100685.666666667,21.205,66.1883333333333,6.63331974906898,100641.333333333,44.333333333343,3.79175939569045,3.53924093797015,5.03254444444444,4380.89546944444
"193",22,250,107.25,92,4.77333333333333,3.21166666666667,0,10,0,100732,22.3516666666667,65.0216666666667,2.30268508799438,100714,18,2.89042731190857,2.6207413942089,10.3148027777778,4227.81713611111
"194",22,251,137.333333333333,135.333333333333,5.87166666666667,3.475,0,0,-0.333333333333333,100158.333333333,23.9833333333333,78.5966666666667,-6.90775527898214,100115.666666667,42.666666666657,3.75344141247663,3.49432185894493,12.075625,6177.43601111111
"195",22,252,47.6666666666667,15.3333333333333,3.94333333333333,2.51666666666667,4.11,3180,0.5,100412.833333333,18.5066666666667,70.0866666666667,8.06463679023958,100386.5,26.3333333333285,3.27087353776125,2.97510258651793,6.33361111111111,4912.14084444445
"196",22,255,113.5,165.25,4.795,2.63166666666667,0,0,0,101159,23.7416666666667,73.2566666666667,-6.90775527898214,101152.333333333,6.66666666667152,1.89726997363773,1.88207205776251,6.92566944444444,5366.53921111111
"197",22,256,76,107.5,1.90833333333333,1.71166666666667,0.05,50,-0.333333333333333,101115.833333333,25.2966666666667,69.7183333333333,3.91204300522815,101139.333333333,-23.5,NA,NA,2.92980277777778,4860.64600277778
"198",22,257,96.25,99.25,3.675,2.17166666666667,0.01,10,-0.166666666666667,100822,24.5283333333333,89.1233333333333,2.30268508799438,100825.833333333,-3.83333333332848,NA,NA,4.71613611111111,7942.96854444444
"199",22,258,111,115.5,1.53333333333333,1.23,0,0,0.666666666666667,101006.5,24.6116666666667,83.7283333333333,-6.90775527898214,100948.333333333,58.1666666666715,4.06332964480375,3.87458083106103,1.5129,7010.43380277778
"200",22,259,60.5,38.4,3.08333333333333,1.75,0,0,-0.166666666666667,101453.333333333,22.6683333333333,90.4666666666667,-6.90775527898214,101458.333333333,-5,NA,NA,3.0625,8184.21777777778
