"","jdate","hour","activity"
"369",251,23,81.5714285714286
"370",252,23,14.3333333333333
"371",255,23,97.2222222222222
"372",256,23,44.6666666666667
"373",257,23,85.8888888888889
"374",258,23,64
"375",259,23,20
"376",260,23,13.1
"377",261,23,27.8
"378",262,23,6.5
"379",263,23,7.9
"380",264,23,78.7
"381",265,23,7
"382",266,23,7.7
"383",267,23,6.8
"384",268,23,9
"385",269,23,15.1
"386",270,23,109.4
